protocol,family,role,headline,blocker_or_lesson,source_path
Protocol018,A+ entry,early robustness candidate,"passed March/Q2/Q3/Q4 but failed partial Q1","early evidence of A+ edge with incomplete robustness","v4/ledger/RESEARCH_LEDGER.md"
Protocol024,A+ entry,stress robustness branch,"positive across March/Q1/Q2/Q3/Q4 under +50 stress","gave up upside and failed +100 stress in several blocks","v4/ledger/RESEARCH_LEDGER.md"
Protocol054,lifecycle,frozen lifecycle predecessor,"provided fallback lifecycle behavior reused downstream","exits are inherited by later protocols, including Protocol101 candidates","v4/ledger/RESEARCH_LEDGER.md"
Protocol081,lifecycle,strong lifecycle stack,"beat Protocol054 on multiple blocks","still lifecycle evidence rather than paper default","v4/ledger/RESEARCH_LEDGER.md"
Protocol092,Protocol101 lineage,event policy predecessor,"positive but failed Q3/Q4 strict baseline","needed better causal history","v4/ledger/RESEARCH_LEDGER.md"
Protocol097,Protocol101 lineage,event policy predecessor,"improved but failed Q4 strict baseline","not enough baseline-relative margin","v4/ledger/RESEARCH_LEDGER.md"
Protocol101,operational default,event history policy,"cleared strict serial gate on Q3/Q4/Q1/March","paper default but timing/fill/lifecycle weaknesses remain","v4/audit/autoresearch/v4_aplus_hypothesis_101_event_history_policy/report.md"
Protocol113,Protocol101 audit,paper-account trade charts,"1028 seed-1 paper trades, $319050 PnL, max DD -$2790","historical replay only; source for trade behavior","v4/audit/autoresearch/v4_aplus_hypothesis_113_protocol101_trade_charts/report.md"
Protocol114,Protocol101 audit,skeptical falsification,"decision fragile_needs_more_data","one-minute delay stress damages edge severely","v4/audit/autoresearch/v4_aplus_hypothesis_114_protocol101_skeptical_falsification/report.md"
Protocol126,Protocol101 audit,timing fragility hardening,"delay-second stress quantified","blocked by incomplete timing coverage and severe delay sensitivity","v4/audit/autoresearch/v4_aplus_hypothesis_126_protocol101_timing_fragility_hardening/report.md"
Protocol163,serial realism,one-account recent model,"profitable but did not beat recent Protocol101","independent opportunity counts overstated tradable edge","v4/ledger/RESEARCH_LEDGER.md"
Protocol194,full-action challenger,surface-edge 5-seed confirmation,"beat Protocol101 on March/Q1/Q3/Q4/recent","promotion blocked by timing validation","v4/audit/autoresearch/v4_aplus_hypothesis_194_full_action_surface_edge_5seed_confirmation/report.md"
Protocol195,full-action challenger,timing fragility audit,"one-minute both-side delay breaks at least one split","entry timing, not exit timing, was primary fragility","v4/audit/autoresearch/v4_aplus_hypothesis_195_protocol194_timing_fragility/report.md"
Protocol215,full-action challenger,repaired-history confirmation,"beat Protocol101 on every listed block","still needed attribution, chart inspection, and live/training parity","v4/audit/autoresearch/v4_aplus_hypothesis_215_full_action_surface_edge_history_5seed_confirmation/report.md"
Protocol240,premium blend,strong research challenger,"beat Protocol101 across listed splits with large deltas","quality/drawdown/runtime blockers remained","v4/audit/autoresearch/v4_aplus_hypothesis_240_premium_leaning_blend_five_seed_decision/report.md"
Protocol248,premium blend,failure-surface audit,"challenger had more PnL but lower win rate and worse drawdown than Protocol101","more opportunity did not mean better paper-default quality","v4/audit/autoresearch/v4_aplus_hypothesis_248_challenger_failure_surface/report.md"
Protocol260,policy router,reliability-prior router,"beat Protocol101 but not best challenger stream","router was research-only and not a final strategy","v4/audit/autoresearch/v4_aplus_hypothesis_260_policy_router_reliability_priors/report.md"
Protocol265,baseline-anchored continuation,source-penalty continuation,"beat Protocol101 on March/Q1/recent paper comparison","did not beat Protocol261 base in March/Q1; no live parity","v4/audit/autoresearch/v4_aplus_hypothesis_265_source_penalty_baseline_anchored_continuation/report.md"
Protocol270,unified labels,full-surface action-advantage dataset,"built large flat action-advantage label surface","positive actions sparse; label/objective alignment still hard","v4/audit/autoresearch/v4_aplus_hypothesis_270_full_surface_action_advantage_dataset/report.md"
Protocol276,unified serial policy,integrated entry+lifecycle replay,"failed Q3/Q4/Q1/March and only beat recent","negative A_enter entries and lifecycle overholding/distribution mismatch","v4/audit/autoresearch/v4_aplus_hypothesis_276_integrated_entry_lifecycle_serial_replay/report.md"
Learned-defer,baseline-relative policy,slot-cost defer overlay,"positive preregistered diagnostic replay deltas","holdout blocked by slot-cost calibration, fill, live parity, formal validation","v4/audit/autoresearch/learned_defer_challenger_research_packet_v1/report.md"
