date,file,line_start,line_end,ts_pt,ts_et,patterns,excerpt
2023-10-30,2023-10-30.txt,50,53,10/30/2023 1:50 PM,16:50,executed_long,ROLLED SHORT-CALL to higher STRIKE & further EXPIRY / added to LONG-CALL & a new LONG SPX CALL for tomorrow's EXPIRY /  / elected not to WRITE PUTS against position
2023-10-31,2023-10-31.txt,60,72,10/31/2023 7:53 AM,10:53,spx_0dte_reference,"0DTE SPX PCS 4160 / 4145  /  / 3,540 - 1,500 = $2,040 CREDIT RECIEVED /  / ES made both a higher SWING LOW & and lower SWING HIGH - needs strength to break-out of this balance, 96% probability either OVN HIGH or LOW is re-auctioned in RTH, so if it were to occur today it's likely the HIGHs since we're much "
2023-11-09,2023-11-09.txt,64,68,11/9/2023 8:00 AM,11:00,executed_long,"went LONG SPX CALLS on ES WEEKLY VWAP BOUNCE, if ES gets back up to VWAP we can see a bunch of BUYERS coming in to potentially make a stronger run back to OPENING PRICE, otherwise VWAP will act as a hard wall to push through"
2023-11-10,2023-11-10.txt,118,122,8:22 AM,11:22,spx_0dte_reference,"0DTE SPX PCS --> $6,005 CREDIT /   /   /   / 1"
2023-11-10,2023-11-10.txt,124,132,8:25 AM,11:25,spx_0dte_reference,"0DTE SPX CCS --> $6,000 CREDIT /   /   /   / 1 /   / 1"
2023-11-10,2023-11-10.txt,152,158,11/10/2023 10:02 AM,13:02,executed_long|hedge_signal,"CCS got rekt, BACK RATIO'd into more SPX LONGS & ultimately CLOSED out of the SPX SHORT CALLS /  / the LONGS off-set the LOSS on the SHORTS, but I do not consider a trade where the DEFENSE had to come save the day a  / winning /  trade - I had to put more capital to dig myself out of the red, that's saving "
2023-11-13,2023-11-13.txt,121,123,11/13/2023 6:50 AM,09:50,executed_long,LONG SPX off ES & NQ bounce off opening 15m candle
2023-11-15,2023-11-15.txt,129,133,11/15/2023 8:25 AM,11:25,spx_0dte_reference,0DTE SPX CCS 4510 / 4495 /   / (edited)
2023-11-16,2023-11-16.txt,110,114,7:23 AM,10:23,spx_0dte_reference,switching from FUTURES to SPX 0DTE on higher confidence in this trade: /  / 0DTE SPX CALLS on ES & NQ back above VWAP
2023-11-16,2023-11-16.txt,118,120,11/16/2023 7:32 AM,10:32,explicitly_claimed,out of those SPX CALLS
2023-11-17,2023-11-17.txt,90,90,7:17 AM,10:17,executed_long|spx_0dte_reference,"did not increase NQ, but went LONG SPX 0DTE 4510"
2023-11-17,2023-11-17.txt,171,171,11/17/2023 9:22 AM,12:22,spx_0dte_reference,"SPX 0DTE PCS 4485 / 4500 --> $1,200 NET CREDIT"
2023-11-17,2023-11-17.txt,173,176,9:26 AM,12:26,executed_long|spx_0dte_reference,"enter LONG SPX 4510 0DTE, COUNTER-TREND this dip, expecting a  / rip"
2023-11-17,2023-11-17.txt,212,214,11/17/2023 9:43 AM,12:43,executed_long|explicitly_claimed,scaling out of SPX LONGS
2023-11-20,2023-11-20.txt,73,73,7:28 AM,10:28,spx_0dte_reference,going to extend my LONG BIAS and LONG 0DTE 4525 SPX CALLS
2023-11-20,2023-11-20.txt,83,83,11/20/2023 7:39 AM,10:39,executed_long|explicitly_claimed,adding to my SPX LONG CALLS
2023-11-20,2023-11-20.txt,93,95,7:44 AM,10:44,explicitly_claimed,"will close out of SPX CALLS at HOD RE-TEST on ES, keeping ES & NQ /   / (edited)"
2023-11-20,2023-11-20.txt,97,97,7:47 AM,10:47,explicitly_claimed,out of SPX CALLS
2023-11-20,2023-11-20.txt,228,228,10:08 AM,13:08,executed_long,i'm about to LONG SPX CALLS if we have continuation here
2023-11-20,2023-11-20.txt,230,234,10:13 AM,13:13,executed_long,went LONG SPX with a larger POSITION SIZE to follow potential CONTINUATION upwards
2023-11-20,2023-11-20.txt,294,302,11/20/2023 10:59 AM,13:59,explicitly_claimed,out of those SPX CALLS /   /   /   / 2 /   / 2 /   / 1
2023-11-21,2023-11-21.txt,117,119,11/21/2023 6:39 AM,09:39,executed_long|spx_0dte_reference,going to add to these LONGS with 0DTE SPX LONG CALLS
2023-11-21,2023-11-21.txt,175,177,9:32 AM,12:32,executed_long,still in SPX LONGS - soon to be at BREAK-EVEN to CLOSE out of trade
2023-11-21,2023-11-21.txt,183,189,11/21/2023 9:55 AM,12:55,executed_long|explicitly_claimed,"out of SPX LONGS, squeaked out a little profit. /  / I do not consider it a winning position when the DEFENSE is what makes the trade go green - that means either the ENTRY or THESIS was incorrect ( in this case the ENTRY ) /  / first loss since 16 NOV /   / 1"
2023-11-22,2023-11-22.txt,95,95,11/22/2023 6:35 AM,09:35,executed_long|spx_0dte_reference,going to go LARGE 0DTE SPX LONG CALLS
2023-11-22,2023-11-22.txt,97,97,6:36 AM,09:36,explicitly_claimed,OUT OF SPX CALLS
2023-11-30,2023-11-30.txt,82,82,11/30/2023 6:24 AM,09:24,executed_long,going to set-up a lightning quick SPX LONG CALLS at market open. literally in & out less than 120 seconds
2023-11-30,2023-11-30.txt,121,121,7:17 AM,10:17,executed_long|explicitly_claimed,looking for exit on my SPX LONGS
2023-11-30,2023-11-30.txt,123,125,7:23 AM,10:23,spx_0dte_reference,"10x 0DTE SPX PCS under LOD for $2,900 NET CREDIT"
2023-11-30,2023-11-30.txt,164,166,11/30/2023 7:51 AM,10:51,narrative_plan,looking at 4555 SPX CALLS should PRICE find a FLOOR
2023-11-30,2023-11-30.txt,172,176,11/30/2023 7:58 AM,10:58,executed_long,"doubled entire PUT LADDER position for additional $10,750 CREDIT to go into SPX LONG CALLS 4555"
2023-11-30,2023-11-30.txt,206,226,11/30/2023 11:29 AM,14:29,executed_long|explicitly_claimed,"spent all day averaging down into my SPX LONGS from this morning to force a win off this PM bull-run. I'll be the first one in line to say it's a horrible idea to throw in so many more contracts into an already failing position, but i had  / conviction /  that SPX would turn up, and spent every 30m cand"
