assumption_id,title,status,importance,fragility,falsification_risk,category,current_evidence,falsification_test,confidence_increases_if,confidence_destroyed_if,next_artifact,owner,last_updated
A001,"Ask-entry/bid-exit replay approximates executable fills","open","critical","high","high","execution","Replay uses ask-entry and bid-exit; latest inspected paper sessions did not prove submitted fills.","Collect paper/no-order evidence by side premium spread quote age latency time bucket and compare against replay assumptions.","Fill distribution remains profitable after realistic age latency spread and non-fill modeling.","Observed fills materially worse than replay or concentrated in unfilled stale/wide quotes.","verifier_report","unassigned","2026-05-24"
A002,"Live quote age semantics match historical quote age semantics","open","critical","high","high","data_parity","Historical and live quote-age paths are not proven identical.","Audit raw quote timestamp received timestamp decision timestamp guard timestamp and replay timestamp alignment.","Matched rows show identical quote-age semantics within explicit tolerance.","Live guard accepts quotes that historical reconstruction would mark stale or unavailable.","cartography_report","unassigned","2026-05-24"
A003,"Live candidate filtering matches training candidate filtering","open","critical","high","high","data_parity","Historical filters include spread mid size and ladder assumptions; live quote validation is not yet proven equivalent.","Build matched historical/live-style candidate parity harness for the same snapshots.","Candidate inclusion exclusion and features match for sampled events.","Live admits materially different candidates or missing causal fields.","verifier_report","unassigned","2026-05-24"
A004,"Protocol066 lifecycle live input matches sequence-model training semantics","open","critical","high","high","lifecycle","Lifecycle inference expects sequence context; live bridge may build a current-row surface.","Replay known paths through the live row builder and compare lifecycle actions step by step.","Live lifecycle features and actions match replay for known trajectories.","Live lifecycle diverges on hold exit stop or forced-flat decisions under identical paths.","verifier_report","unassigned","2026-05-24"
A005,"Protocol051 surface edge represents opportunity quality rather than quote mechanics","open","high","medium_high","medium_high","modeling","Protocol101 depends on upstream surface scores and narrow filters.","Run matched controls by spread premium moneyness side time quote age liquidity and fillability.","Edge remains after conditioning on liquidity and quote mechanics.","Score advantage vanishes under matched liquidity/fillability controls.","experiment_rfc","unassigned","2026-05-24"
A006,"Protocol101 margin ranks expected realized utility","partially_tested","high","medium","medium_high","calibration","Strategy forensics reported weak selected-trade score calibration.","Measure same-event candidate utility calibration including rejected candidates and execution costs.","Higher margins monotonically improve realized utility after costs and fills.","Margins are flat negative or regime-unstable after realistic costs.","verifier_report","unassigned","2026-05-24"
A007,"Repeated exposed validation splits still predict future behavior","open","critical","high","high","validation","Known splits have been repeatedly examined in research iterations.","Freeze a candidate and score one future untouched block once after execution and parity gates pass.","Untouched block behavior matches confidence intervals from prior gates.","Performance collapses or changes sign on untouched block.","decision_memo","unassigned","2026-05-24"
A008,"Ten thousand dollar account and reserve semantics match replay","open","high","medium","medium","accounting","Docs mention reserve semantics that may not be enforced identically in guard logic.","Run guard-identical account replay with explicit reserve subtraction rules.","Replay and guard affordability decisions match exactly.","Trades accepted by replay would be rejected by guard or account state.","verifier_report","unassigned","2026-05-24"
A009,"IBKR paper fills approximate live execution","blocked","high","high","high","execution","Paper-submit evidence is insufficient and live-money trading is not authorized.","Compare paper fill/cancel data to approved live micro-observations only if later authorized.","Paper/live fill gaps are bounded and modeled conservatively.","Paper fills are systematically optimistic versus live.","decision_memo","unassigned","2026-05-24"
A010,"Fees and commissions are negligible for current trade distribution","open","medium","medium","medium","pnl_accounting","Main labels and reports often treat costs lightly or separately.","Run fee sensitivity by side premium time archetype and turnover.","Net edge survives conservative fee and commission schedules.","Net expectancy disappears after realistic fees.","verifier_report","unassigned","2026-05-24"
