gate,status,reason,metric,threshold
base_economic_edge,pass,pass,60770.0,"candidate must beat one-contract baseline from $10,000"
cash_stress,pass,pass,28730.0,incremental PnL > 0 for every starting cash and $0/$0.25/$0.50 stress row
drawdown_efficiency,pass,pass,34.025,candidate return/max-drawdown must improve every stress row
worst_day_control,pass,pass,-2300.0,candidate worst day no more than $500 worse than one-contract baseline
segment_portability,pass,pass,"{'q1_2026': 9980.0, 'q3_2025': 42390.0, 'q4_2024_external': 3450.0, 'q4_2025': 4950.0}",incremental PnL positive in every tested segment
concentration,pass,pass,"{'top_day_share_of_positive': 0.065947, 'top_month_share_of_positive': 0.279164}",top day <=35% and top month <=55% of positive incremental PnL
critical_timing_realism,block,incomplete high-resolution coverage,"{'critical_delays': [1, 5], 'min_coverage': 0.749304, 'missing_rows_to_95pct': [{'split': 'q1_2026', 'delay_seconds': 1, 'rows': 359, 'covered_rows': 269, 'required_rows': 342, 'additional_rows_needed': 73, 'coverage': 0.749304, 'required_coverage': 0.95}, {'split': 'q1_2026', 'delay_seconds': 5, 'rows': 359, 'covered_rows': 269, 'required_rows': 342, 'additional_rows_needed': 73, 'coverage': 0.749304, 'required_coverage': 0.95}]}",>= 95% high-res coverage and positive incremental PnL at 1s/5s
advisory_timing_sensitivity,warn,60-second delay turns some blocks negative,"{'negative_advisory_rows': [{'split': 'q1_2026', 'delay_seconds': 60, 'incremental_delayed_pnl': -3910.0, 'challenger_delayed_pnl': -17850.0}, {'split': 'q3_2025', 'delay_seconds': 60, 'incremental_delayed_pnl': -2780.0, 'challenger_delayed_pnl': -15450.0}, {'split': 'q4_2024_external', 'delay_seconds': 60, 'incremental_delayed_pnl': -965.0, 'challenger_delayed_pnl': 4520.0}, {'split': 'q4_2025', 'delay_seconds': 60, 'incremental_delayed_pnl': -610.0, 'challenger_delayed_pnl': -16650.0}]}",reported as warning; not a promotion blocker if live latency is proven inside critical budget
live_stack_compatibility,pass,pass,"{'risk_failed_rows': 0, 'schema_failed_rows': 0, 'quantity_counts': {'1': 827, '2': 166, '3': 27}}",zero risk/schema failures when explicitly configured for candidate max quantity
one_contract_default_guard,pass,pass,"{'default_schema_rejects_qty2': True, 'default_risk_gate_rejects_qty2': True}",default operational path must still reject qty=2
