date,n_pickles_messages,n_keyword_hits,patterns_matched,first_hit_ts_pt,first_hit_ts_et,first_hit_line,first_hit_excerpt
2023-10-22,0,0,,,,,
2023-10-23,3,0,,,,,
2023-10-24,0,0,,,,,
2023-10-25,2,0,,,,,
2023-10-30,4,1,executed_long,10/30/2023 1:50 PM,16:50,50,ROLLED SHORT-CALL to higher STRIKE & further EXPIRY / added to LONG-CALL & a new LONG SPX CALL for tomorrow's EXPIRY /  / elected not to WRITE PUTS against position
2023-10-31,9,1,spx_0dte_reference,10/31/2023 7:53 AM,10:53,60,"0DTE SPX PCS 4160 / 4145  /  / 3,540 - 1,500 = $2,040 CREDIT RECIEVED /  / ES made both a higher SWING LOW & and lower SWING HIGH - needs strength to break-out of this balance, 96% probability either OVN HIGH or LOW is re-auctioned in RTH, so if it were to occur today it's likely the HIGHs since we're much "
2023-11-01,0,0,,,,,
2023-11-02,1,0,,,,,
2023-11-06,5,0,,,,,
2023-11-07,6,0,,,,,
2023-11-09,11,1,executed_long,11/9/2023 8:00 AM,11:00,64,"went LONG SPX CALLS on ES WEEKLY VWAP BOUNCE, if ES gets back up to VWAP we can see a bunch of BUYERS coming in to potentially make a stronger run back to OPENING PRICE, otherwise VWAP will act as a hard wall to push through"
2023-11-10,17,3,executed_long|hedge_signal|spx_0dte_reference,8:22 AM,11:22,118,"0DTE SPX PCS --> $6,005 CREDIT /   /   /   / 1"
2023-11-13,20,1,executed_long,11/13/2023 6:50 AM,09:50,121,LONG SPX off ES & NQ bounce off opening 15m candle
2023-11-14,5,0,,,,,
2023-11-15,37,1,spx_0dte_reference,11/15/2023 8:25 AM,11:25,129,0DTE SPX CCS 4510 / 4495 /   / (edited)
2023-11-16,34,2,explicitly_claimed|spx_0dte_reference,7:23 AM,10:23,110,switching from FUTURES to SPX 0DTE on higher confidence in this trade: /  / 0DTE SPX CALLS on ES & NQ back above VWAP
2023-11-17,37,4,executed_long|explicitly_claimed|spx_0dte_reference,7:17 AM,10:17,90,"did not increase NQ, but went LONG SPX 0DTE 4510"
2023-11-19,2,0,,,,,
2023-11-20,53,7,executed_long|explicitly_claimed|spx_0dte_reference,7:28 AM,10:28,73,going to extend my LONG BIAS and LONG 0DTE 4525 SPX CALLS
2023-11-21,17,3,executed_long|explicitly_claimed|spx_0dte_reference,11/21/2023 6:39 AM,09:39,117,going to add to these LONGS with 0DTE SPX LONG CALLS
2023-11-22,8,2,executed_long|explicitly_claimed|spx_0dte_reference,11/22/2023 6:35 AM,09:35,95,going to go LARGE 0DTE SPX LONG CALLS
